matchId,matchDate,ouid,nickname,seasonId,matchResult,matchEndType,systemPause,foul,injury,redCards,yellowCards,dribble,cornerKick,possession,offsideCount,averageRating,controller,shootTotal,effectiveShootTotal,shootOutScore,goalTotal,goalTotalDisplay,ownGoal,shootHeading,goalHeading,shootFreekick,goalFreekick,shootInPenalty,goalInPenalty,shootOutPenalty,goalOutPenalty,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,bouncingLobPassTry,bouncingLobPassSuccess,drivenGroundPassTry,drivenGroundPassSuccess,throughPassTry,throughPassSuccess,lobbedThroughPassTry,lobbedThroughPassSuccess,blockTry,blockSuccess,tackleTry,tackleSuccess
66fd4b4dd2234dab0ca7b90e,2024-10-02T13:42:19,eae34ad352194c477d893eeaa1e4d7da,GUl멘,202410,승,0,0.0,1.0,0.0,0.0,0.0,96.0,1.0,52.0,0.0,4.22222,keyboard,4.0,4.0,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,124.0,116.0,101.0,98.0,2.0,1.0,0.0,0.0,4.0,3.0,17.0,14.0,0.0,0.0,7.0,2.0,8.0,4.0
66fd4b4dd2234dab0ca7b90e,2024-10-02T13:42:19,8eaf7bddd7c10753a135f430021df38f,오늘의FC,202410,패,0,0.0,2.0,0.0,0.0,0.0,82.0,1.0,48.0,1.0,3.82222,gamepad,6.0,4.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,100.0,92.0,79.0,74.0,4.0,1.0,0.0,0.0,10.0,10.0,7.0,7.0,0.0,0.0,6.0,0.0,6.0,3.0
66fd489c03db5550f08d993c,2024-10-02T13:31:36,eae34ad352194c477d893eeaa1e4d7da,GUl멘,202410,무,0,0.0,0.0,0.0,0.0,0.0,81.0,1.0,44.0,0.0,4.22778,keyboard,6.0,5.0,0.0,4.0,4,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,0.0,114.0,102.0,94.0,87.0,2.0,2.0,0.0,0.0,2.0,2.0,15.0,11.0,0.0,0.0,13.0,2.0,3.0,2.0
66fd489c03db5550f08d993c,2024-10-02T13:31:36,197809154a5d9e5623655810164ebc41,솔뫼초5문수혁,202410,무,0,1.0,0.0,0.0,0.0,0.0,87.0,2.0,56.0,1.0,4.85556,keyboard,10.0,7.0,0.0,4.0,4,0.0,1.0,0.0,0.0,0.0,7.0,3.0,3.0,1.0,0.0,0.0,131.0,120.0,97.0,92.0,5.0,2.0,0.0,0.0,3.0,3.0,26.0,23.0,0.0,0.0,8.0,1.0,11.0,7.0
66fd4619eb5ab123eb10c682,2024-10-02T13:20:08,eae34ad352194c477d893eeaa1e4d7da,GUl멘,202410,승,1,0.0,0.0,0.0,0.0,0.0,80.0,3.0,48.0,0.0,4.83333,keyboard,10.0,9.0,0.0,5.0,3,0.0,0.0,0.0,1.0,1.0,6.0,2.0,4.0,3.0,0.0,0.0,114.0,107.0,79.0,77.0,6.0,4.0,0.0,0.0,4.0,4.0,23.0,22.0,0.0,0.0,7.0,1.0,8.0,8.0
66fd4619eb5ab123eb10c682,2024-10-02T13:20:08,8a6f0801357a8f71cb57af9e92b0f337,BARLamasia,202410,패,2,1.0,1.0,0.0,0.0,0.0,73.0,0.0,51.0,0.0,3.55556,keyboard,2.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,96.0,92.0,69.0,68.0,1.0,1.0,0.0,0.0,8.0,7.0,17.0,16.0,1.0,0.0,6.0,0.0,11.0,9.0
66fd43a233ccce32390ca44a,2024-10-02T13:09:29,eae34ad352194c477d893eeaa1e4d7da,GUl멘,202410,승,1,0.0,0.0,0.0,0.0,0.0,101.0,3.0,58.0,1.0,4.66111,keyboard,6.0,5.0,0.0,3.0,3,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,139.0,127.0,101.0,99.0,6.0,2.0,0.0,0.0,5.0,3.0,26.0,23.0,0.0,0.0,2.0,1.0,4.0,3.0
66fd43a233ccce32390ca44a,2024-10-02T13:09:29,5eb40c1b10072609c3b90b0af589e197,랜더스최정,202410,패,2,1.0,0.0,0.0,0.0,0.0,52.0,0.0,42.0,1.0,3.43333,gamepad,4.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,73.0,67.0,49.0,48.0,5.0,5.0,0.0,0.0,2.0,1.0,16.0,13.0,0.0,0.0,10.0,0.0,16.0,5.0
66fcc4f127ec615c2008fdf9,2024-10-02T04:09:27,eae34ad352194c477d893eeaa1e4d7da,GUl멘,202410,패,0,0.0,0.0,1.0,0.0,0.0,98.0,2.0,55.0,0.0,3.95,keyboard,4.0,4.0,0.0,3.0,3,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,134.0,124.0,104.0,100.0,7.0,4.0,0.0,0.0,2.0,1.0,20.0,19.0,1.0,0.0,5.0,0.0,7.0,5.0
66fcc4f127ec615c2008fdf9,2024-10-02T04:09:27,beda3272bc4712b07aa316770204867a,허허실실전법,202410,승,0,0.0,1.0,0.0,0.0,0.0,66.0,0.0,45.0,0.0,4.25556,keyboard,5.0,4.0,0.0,4.0,4,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,86.0,74.0,59.0,56.0,3.0,0.0,1.0,1.0,2.0,2.0,20.0,15.0,0.0,0.0,7.0,0.0,19.0,10.0
